,Contract,Title,Type of contract,Short description,Total value,Place of performance,Contractor,Notice dispatch date,Short description tokenized
211,394997-2014,Conference and other areas,SUPPLIES,Delivery of furniture to the new seat of Frontex in the Warsaw Spire.,368275.0,,['Espes Office Sp. z o.o.'],2014-11-10,delivery furniture new seat frontex warsaw spire
212,394997-2014,Waiting areas,SUPPLIES,Delivery of furniture to the new seat of Frontex in the Warsaw Spire.,130142.66,,['Espes Office Sp. z o.o.'],2014-11-10,delivery furniture new seat frontex warsaw spire
213,394997-2014,Carpentry works,SUPPLIES,Delivery of furniture to the new seat of Frontex in the Warsaw Spire.,99241.0,,['Espes Office Sp. z o.o.'],2014-11-10,delivery furniture new seat frontex warsaw spire
214,395124-2015,"Nautical charts Web map service, design, transition and operation.",SERVICES,Procurement of a nautical chart Web map service that can be integrated into Frontex applications.,112795.0,PL127,['Carmenta AB'],2015-10-29,procurement nautical chart web map service integrate frontex application
215,411329-2014,Frontex positioning system.,SERVICES,"Frontex positioning system (FPS) concept aims to create a single, integrated, real-time automated system for tracking assets deployed in the joint operations (JOs), and displaying positions of the assets in real time as well as calculating running costs of those assets, thus providing for automated procedures for assimilating and reporting financial data within JOs. The aim of Frontex and the objective of this contract are to maintain and provide existing functionalities of the FPS for JOs improved and developed according to the requirements defined. The FPS shall offer the capability to: 1) display positions of the assets in real time; 2) automatically calculate costs of the assets (per asset and JO); 3) be integrated with at least 5 third party positioning systems.",578378.35,PL127,['Atos IT Solutions and Services Iberia S.L.'],2014-11-24,frontex positioning system fps concept aim create single integrate real time automate system track asset deploy joint operation jos displaying position asset real time calculate running cost asset providing automate procedure assimilate reporting financial datum jos aim frontex objective contract maintain provide exist functionality fps jo improve develop according requirement define fps shall offer capability 1 display position asset real time 2 automatically calculate cost asset asset jo 3 integrate 5 party positioning system
216,414489-2019,Framework Contract for the Provision of Professional Insurance Brokerage Services,SERVICES,"The objectives of this single framework contract are: — to establish optimal insurance coverage for Frontex specific activities in the most economically advantageous way; covering the following insurance: (a) public liability for Frontex operational premises; (b) comprehensive motor vehicle insurance for specialized vehicles (VMM), deployed in Frontex operational areas, — to deliver high level support and advice to maintain the optimal level of insurance coverage taking into consideration the specific role of Frontex, — to assist Frontex in dealing with changing factors, such as legislation, and thus limiting these services are needed to ensure that Frontex has in place the best insurance coverage to minimize its Frontex risk exposure.",200000.0,PL911,['Nord Partner sp. z o.o.'],2019-08-28,objective single framework contract establish optimal insurance coverage frontex specific activity economically advantageous way cover following insurance public liability frontex operational premise b comprehensive motor vehicle insurance specialized vehicle vmm deploy frontex operational area deliver high level support advice maintain optimal level insurance coverage consideration specific role frontex assist frontex deal changing factor legislation limit service need ensure frontex place good insurance coverage minimize frontex risk exposure
217,417221-2020,Portable Desktop or Mobile (in a Suitcase) Fingerprint Scanner Device,SUPPLIES,Portable desktop or mobile (in a suitcase) fingerprint scanner device.,,PL,,2020-08-31,portable desktop mobile suitcase fingerprint scanner device
218,417221-2020,Portable Desktop or Mobile (in a Suitcase) Document Inspection and Fingerprint Scanner Device,SUPPLIES,Portable desktop or mobile (in a suitcase) document inspection and fingerprint scanner device.,,PL,,2020-08-31,portable desktop mobile suitcase document inspection fingerprint scanner device
219,417410-2017,Provision of services related to ESRI GIS,SERVICES,"This contract shall be considered as a source for contracting GIS services. GIS services shall be understood in broad meaning with reference to all phases of a GIS service as advice, development, support, tuning and maintenance of GIS services for desktop, server, mobile technologies and integration with other non-GIS Frontex systems.",1100000.0,PL911,"['Dotsoft SA', 'Epsilon Malta Ltd']",2017-10-11,contract shall consider source contracting gis service gis service shall understand broad meaning reference phase gis service advice development support tuning maintenance gis service desktop server mobile technology integration non - gis frontex system
220,417410-2017,Provision of services related to ESRI GIS,SERVICES,"This contract shall be considered as a source for contracting GIS services. GIS services shall be understood in broad meaning with reference to all phases of a GIS service as advice, development, support, tuning and maintenance of GIS services for desktop, server, mobile technologies and integration with other non-GIS Frontex systems.",1100000.0,PL911,"['Asseco Poland SA', 'ESRI Polska Sp. z o.o.']",2017-10-11,contract shall consider source contracting gis service gis service shall understand broad meaning reference phase gis service advice development support tuning maintenance gis service desktop server mobile technology integration non - gis frontex system
221,417410-2017,Provision of services related to ESRI GIS,SERVICES,"This contract shall be considered as a source for contracting GIS services. GIS services shall be understood in broad meaning with reference to all phases of a GIS service as advice, development, support, tuning and maintenance of GIS services for desktop, server, mobile technologies and integration with other non-GIS Frontex systems.",1100000.0,PL911,['GeneGIS GI Srl (former GESP Srl)'],2017-10-11,contract shall consider source contracting gis service gis service shall understand broad meaning reference phase gis service advice development support tuning maintenance gis service desktop server mobile technology integration non - gis frontex system
222,422204-2017,Environmental assessment — meteorological and oceanographic services,SERVICES,"Purchase of meteorological (atmospheric and oceanographic/marine) services. Detailed atmospheric and oceanographic/marine meteorological services shall be built, tested, delivered, developed further, continuously improved and maintained.",3200000.0,PL911,['MeteoGroup Nederland B.V.'],2017-10-13,purchase meteorological atmospheric oceanographic / marine service detailed atmospheric oceanographic / marine meteorological service shall build test deliver develop far continuously improve maintain
223,431049-2018,Textile Gifts,SERVICES,Delivery of textile gifts.,,PL,,2018-09-27,delivery textile gift
224,431049-2018,Minor Gifts,SERVICES,"Delivery of different kind of minor gifts: pens, umbrellas, card holders etc.",,PL,,2018-09-27,delivery different kind minor gift pen umbrella card holder etc .
225,431049-2018,Executive Corporate Gifts,SERVICES,Delivery of executive corporate gifts — glass and wooden gifts.,,PL,,2018-09-27,delivery executive corporate gift glass wooden gift
226,431049-2018,Brass Executive Corporate Gifts,SERVICES,Delivery of brass executive corporate gifts.,,PL,,2018-09-27,delivery brass executive corporate gift
227,433072-2014,Renewal of SAS software licences.,SERVICES,Renewal of SAS software licences subscription for the next period.,,,['SAS Institute Sp. z o.o.'],2014-12-10,renewal sas software licence subscription period
228,434977-2016,Framework contract for organisation of events outside of Poland.,SERVICES,Framework contract for organisation of events outside of Poland.,6000000.0,00,['Adria Congrex srl'],2016-11-30,framework contract organisation event outside poland
229,437394-2017,Office materials with Frontex corporate identity,SERVICES,Production and delivery of office materials with Frontex corporate identity.,180000.0,PL,['Arch sc Mirosława Nowicka Marek Nowicki'],2017-10-24,production delivery office material frontex corporate identity
230,442054-2019,Framework Contract for Provision of Interpretation Services,SERVICES,"The subject of this framework contract is: 1) Provision of professional services in the field of simultaneous and consecutive interpretation during various meetings, and conferences organized by Frontex in Warsaw or its close vicinity. It will mainly concern Frontex management board meetings (high-level) held in Warsaw, however, Frontex may request interpretation services for other events in Warsaw or other location; 2) Rental of the necessary equipment related to the interpretation service that will be ordered upon the request of Frontex.",700000.0,PL911,['GTC AMG sp. z o.o.'],2019-09-13,subject framework contract 1 provision professional service field simultaneous consecutive interpretation meeting conference organize frontex warsaw close vicinity mainly concern frontex management board meeting high level hold warsaw frontex request interpretation service event warsaw location 2 rental necessary equipment relate interpretation service order request frontex
231,444842-2016,"Provision of ESRI products and licences, maintenance and related services.",SERVICES,"Provision of ESRI products and licences, maintenance services, consulting services, training services, knowledge transfer services.",,,['GTC AMG sp. z o.o.'],2016-12-08,provision esri product licence maintenance service consulting service training service knowledge transfer service
232,453471-2018,Framework Contract for the Supply of Document Inspection Devices for Frontex Joint Operations,SUPPLIES,"Portable on-body battery-operated document inspection system composed of a full-page document scanner/reader and a visualization device (tablet but also smartphone) capable to perform optical, electronic, and combined checks on the go for quick authenticity verification of passports, ID cards, resident permits, visas, stamps and other security documents for document checks purposes at all types of borders.",1000000.0,PL91,['Regula Baltija Ltd'],2018-10-10,portable body battery operate document inspection system compose page document scanner / reader visualization device tablet smartphone capable perform optical electronic combine check quick authenticity verification passport id card resident permit visa stamp security document document check purpose type border
233,453471-2018,Framework Contract for the Supply of Document Inspection Devices for Frontex Joint Operations,SUPPLIES,"Portable desk-top document inspection system composed of a full-page document scanner/reader and software capable to perform optical, electronic, and combined checks for authenticity verification of passports, ID cards, resident permits, visas, stamps and other security documents for document checks purposes at all types of borders.",800000.0,PL91,['Regula Baltija Ltd'],2018-10-10,portable desk document inspection system compose page document scanner / reader software capable perform optical electronic combine check authenticity verification passport id card resident permit visa stamp security document document check purpose type border
234,463323-2019,Lot 1: Kosovo – Mobile Office Container,SERVICES,Renting of mobile office containers and associated services in Kosovo.,,00,,2019-09-26,renting mobile office container associate service kosovo
235,463323-2019,Lot 2: Kosovo – Toilet Container,SERVICES,Renting of toilet containers and associated services in Kosovo.,,00,,2019-09-26,renting toilet container associate service kosovo
236,463323-2019,Lot 3: Moldova – Mobile Office Container,SERVICES,Renting of mobile office containers and associated services in Moldova.,,00,,2019-09-26,renting mobile office container associate service moldova
237,463323-2019,Lot 4: Moldova – Toilet Container,SERVICES,Renting of toilet containers and associated services in Moldova.,,00,,2019-09-26,renting toilet container associate service moldova
238,463323-2019,Lot 5: Montenegro – Mobile Office Container,SERVICES,Renting of mobile office containers and associated services in Montenegro.,,00,,2019-09-26,renting mobile office container associate service montenegro
239,463323-2019,Lot 6: Montenegro – Toilet Container,SERVICES,Renting of toilet containers and associated services in Montenegro.,,00,,2019-09-26,renting toilet container associate service montenegro
240,463323-2019,Lot 7: Ukraine – Mobile Office Container,SERVICES,Renting of mobile office containers and associated services in Ukraine.,,00,,2019-09-26,renting mobile office container associate service ukraine
241,463323-2019,Lot 8: Ukraine — Toilet Container,SERVICES,Renting of toilet containers and associated services in Ukraine.,,00,,2019-09-26,renting toilet container associate service ukraine
242,463323-2019,Lot 9: Cyprus – Mobile Office Container,SERVICES,Renting of mobile office containers and associated services in Cyprus.,,CY,,2019-09-26,renting mobile office container associate service cyprus
243,463323-2019,Lot 10: Cyprus — Toilet Container,SERVICES,Renting of toilet containers and associated services in Cyprus.,,CY,,2019-09-26,renting toilet container associate service cyprus
244,473315-2020,Remotely Piloted Aircraft Systems (RPAS) for Medium Altitude Long Endurance Maritime Aerial Surveillance,SERVICES,"The subject of the contract is to establish multiple framework contract for maritime aerial surveillance services with Remotely Piloted Aircraft Systems for long endurance, providing of information via remote mission portal and sharing of compiled operational picture and/or raw data (the data transmission requirements will be defined in the specific orders). Frontex awards the framework contract to two (2) contractors, rating them in ‘cascade’ (first and second) order.",50000000.0,EL,['Airbus DS Airborne Solutions GmbH'],2020-10-01,subject contract establish multiple framework contract maritime aerial surveillance service remotely piloted aircraft systems long endurance providing information remote mission portal sharing compile operational picture and/or raw datum datum transmission requirement define specific order frontex award framework contract 2 contractor rating cascade second order
245,473315-2020,Remotely Piloted Aircraft Systems (RPAS) for Medium Altitude Long Endurance Maritime Aerial Surveillance,SERVICES,"The subject of the contract is to establish multiple framework contract for maritime aerial surveillance services with Remotely Piloted Aircraft Systems for long endurance, providing of information via remote mission portal and sharing of compiled operational picture and/or raw data (the data transmission requirements will be defined in the specific orders). Frontex awards the framework contract to two (2) contractors, rating them in ‘cascade’ (first and second) order.",50000000.0,EL,"['Elbit Systems Ltd, Advanced Technology Center']",2020-10-01,subject contract establish multiple framework contract maritime aerial surveillance service remotely piloted aircraft systems long endurance providing information remote mission portal sharing compile operational picture and/or raw datum datum transmission requirement define specific order frontex award framework contract 2 contractor rating cascade second order
246,473318-2020,Security Services in EURTF Catania,SERVICES,Delivery of 24/7 security services in the Office of EU Regional Task Force in Catania (Italy).,672067.2,ITG1,['Sicurtransport'],2020-10-01,delivery 24/7 security service office eu regional task force catania italy
247,473919-2018,Provision of Office Supplies for Frontex,SUPPLIES,Provision of office supplies and other materials for Frontex.,720000.0,PL,['Jarosław Sztobryn Prooffice'],2018-10-22,provision office supply material frontex
248,487319-2017,Mobile surveillance systems with thermal camera based on pickup vehicle,SUPPLIES,"The entire system shall be installed on a pickup type motor vehicle, with off-road capability, designed for use all year round (24/7), even in rough terrain. The system is operated on a daily basis up to 12 hours per day, from a stationary vehicle in the sense that the sensors are deployed above the vehicle's height in an elevated observation position. 1. The integrated sensors' head shall consist of: a. thermal camera (IR); b. daylight camera (DC); c. laser rangefinder (LRF); d. GPS. 2. The control system to manage sensors, integrate and visualise data/information, consisting of: a. user physical interface, including: — 2 operator's monitors, — 2 operator's consoles, — joystick to control the pan/tilt, — other supporting accessories; b. system interface, including: — terrain cartography, — sensors images, — compiled picture including sensor images and meta data overlayed on the terrain cartography; c. data management: — data recording system, — data transfer systems; d. control system support shall contain: — GPS and north sensor, — electronic unit to control operation of the sensors, — stabilisation system, — power supply system; e. the communication system shall consist of: — 4G modem, — mobile VHF radio, — mobile TETRA terminal.",,PL911,,2017-11-27,entire system shall instal pickup type motor vehicle road capability design use year round 24/7 rough terrain system operate daily basis 12 hour day stationary vehicle sense sensor deploy vehicle height elevated observation position 1 integrate sensor ' head shall consist a. thermal camera ir b. daylight camera dc c. laser rangefinder lrf d. gps 2 control system manage sensor integrate visualise datum / information consist a. user physical interface include 2 operator monitor 2 operator console joystick control pan / tilt supporting accessory b. system interface include terrain cartography sensor image compile picture including sensor image meta datum overlay terrain cartography c. data management data record system data transfer system d. control system support shall contain gps north sensor electronic unit control operation sensor stabilisation system power supply system e. communication system shall consist 4 g modem mobile vhf radio mobile tetra terminal
249,487319-2017,Mobile surveillance systems with thermal camera based on minibus,SUPPLIES,"The entire system shall be installed on a pickup type motor vehicle, with off-road capability, designed for use all year round (24/7), even in rough terrain. The system is operated on a daily basis up to 12 hours per day, from a stationary vehicle in the sense that the sensors are deployed above the vehicle's height in an elevated observation position. 1. The integrated sensors' head shall consist of: a. thermal camera (IR); b. daylight camera (DC); c. laser rangefinder (LRF); d. GPS. 2. The control system to manage sensors, integrate and visualise data/information, consisting of: a. user physical interface, including: — 2 operator's monitors, — 2 operator's consoles, — joystick to control the pan/tilt, — other supporting accessories; b. system interface, including: — terrain cartography, — sensors images, — compiled picture including sensor images and metadata overlayed on the terrain cartography; c. data management: — data recording system, — data transfer systems; d. control system support shall contain: — GPS and north sensor, — electronic unit to control operation of the sensors, — stabilisation system, — power supply system; e. the communication system shall consist of: — 4G modem, — mobile VHF radio, — mobile TETRA terminal.",,PL911,,2017-11-27,entire system shall instal pickup type motor vehicle road capability design use year round 24/7 rough terrain system operate daily basis 12 hour day stationary vehicle sense sensor deploy vehicle height elevated observation position 1 integrate sensor ' head shall consist a. thermal camera ir b. daylight camera dc c. laser rangefinder lrf d. gps 2 control system manage sensor integrate visualise datum / information consist a. user physical interface include 2 operator monitor 2 operator console joystick control pan / tilt supporting accessory b. system interface include terrain cartography sensor image compile picture include sensor image metadata overlay terrain cartography c. data management data recording system data transfer system d. control system support shall contain gps north sensor electronic unit control operation sensor stabilisation system power supply system e. communication system shall consist 4 g modem mobile vhf radio mobile tetra terminal
250,487319-2017,Mobile surveillance systems with thermal camera and a radar based on minibus,SUPPLIES,"The entire system shall be installed on a pickup type motor vehicle, with off-road capability, designed for use all year round (24/7), even in rough terrain. The system is operated on a daily basis up to 12 hours per day, from a stationary vehicle in the sense that the sensors are deployed above the vehicle's height in an elevated observation position. 1. The integrated sensors' head shall consist of: a. thermal camera (IR); b. daylight camera (DC); c. laser rangefinder (LRF); d. GPS. 2. The control system to manage sensors, integrate and visualise data/information, consisting of: a. user physical interface, including: — 2 operator's monitors, — 2 operator's consoles, — joystick to control the pan/tilt, — other supporting accessories; b. system interface, including: — terrain cartography, — sensors images, — compiled picture including sensor images and metadata overlayed on the terrain cartography; c. data management: — data recording system, — data transfer systems; d. control system support shall contain: — GPS and north sensor, — electronic unit to control operation of the sensors, — stabilisation system, — power supply system; e. the communication system shall consist of: — 4G modem, — mobile VHF radio, — mobile TETRA terminal.",,PL911,,2017-11-27,entire system shall instal pickup type motor vehicle road capability design use year round 24/7 rough terrain system operate daily basis 12 hour day stationary vehicle sense sensor deploy vehicle height elevated observation position 1 integrate sensor ' head shall consist a. thermal camera ir b. daylight camera dc c. laser rangefinder lrf d. gps 2 control system manage sensor integrate visualise datum / information consist a. user physical interface include 2 operator monitor 2 operator console joystick control pan / tilt supporting accessory b. system interface include terrain cartography sensor image compile picture include sensor image metadata overlay terrain cartography c. data management data recording system data transfer system d. control system support shall contain gps north sensor electronic unit control operation sensor stabilisation system power supply system e. communication system shall consist 4 g modem mobile vhf radio mobile tetra terminal
251,487436-2019,Framework Contract for provision of Vehicles for Migration Management support,SUPPLIES,Purchasing of vehicles needed within Frontex operational activities in Europe and North and West part of Africa.,2000000.0,PL911,['TEKNE Srl'],2019-10-10,purchasing vehicle need frontex operational activity europe north west africa
252,492276-2020,Provision of Door-to-door Transportation Services for Frontex Vehicles,SERVICES,"Door-to-door transportation services for Frontex vehicles within and between the EU MS, Schengen associated countries (SACs) and Third Countries located in Europe, and other countries if necessary, in accordance with the laws and regulations of all countries transited. The services shall be provided in accordance with the conditions set out in these Terms of Reference (ToR). The FWC will be implemented by the means of Order Forms (OF) following a reopening of competition limitated to the shortlisted Contractors selected under the tender procedure in question.",1000000.0,00,['DSV Air and Sea Sp.Zo.o'],2020-10-12,door door transportation service frontex vehicle eu ms schengen associate country sacs countries locate europe country necessary accordance law regulation country transit service shall provide accordance condition set term reference tor fwc implement mean order form following reopening competition limitate shortlist contractor select tender procedure question
253,492276-2020,Provision of Door-to-door Transportation Services for Frontex Vehicles,SERVICES,"Door-to-door transportation services for Frontex vehicles within and between the EU MS, Schengen associated countries (SACs) and Third Countries located in Europe, and other countries if necessary, in accordance with the laws and regulations of all countries transited. The services shall be provided in accordance with the conditions set out in these Terms of Reference (ToR). The FWC will be implemented by the means of Order Forms (OF) following a reopening of competition limitated to the shortlisted Contractors selected under the tender procedure in question.",1000000.0,00,['Pol-Mare Sp.Zo.o'],2020-10-12,door door transportation service frontex vehicle eu ms schengen associate country sacs countries locate europe country necessary accordance law regulation country transit service shall provide accordance condition set term reference tor fwc implement mean order form following reopening competition limitate shortlist contractor select tender procedure question
254,492276-2020,Provision of Door-to-door Transportation services for Frontex Vehicles,SERVICES,"Door-to-door transportation services for Frontex vehicles within and between the EU MS, Schengen associated countries (SACs) and Third Countries located in Europe, and other countries if necessary, in accordance with the laws and regulations of all countries transited. The services shall be provided in accordance with the conditions set out in these Terms of Reference (ToR). The FWC will be implemented by the means of Order Forms (OF) following a reopening of competition limitated to the shortlisted Contractors selected under the tender procedure in question.",1000000.0,00,['Maxi Cargo Sp.Zo.o'],2020-10-12,door door transportation service frontex vehicle eu ms schengen associate country sacs countries locate europe country necessary accordance law regulation country transit service shall provide accordance condition set term reference tor fwc implement mean order form following reopening competition limitate shortlist contractor select tender procedure question
255,501017-2019,Provision of Interim Staff Services for Frontex,SERVICES,Provision of interim staff services to Frontex.,5000000.0,PL,['Kaliszuk sp j staff partners'],2019-10-17,provision interim staff service frontex
256,501017-2019,Provision of Interim Staff Services for Frontex,SERVICES,Provision of interim staff services to Frontex.,5000000.0,PL,['Outworking SA'],2019-10-17,provision interim staff service frontex
257,501017-2019,Provision of Interim Staff Services for Frontex,SERVICES,Provision of interim staff services to Frontex.,5000000.0,PL,['Grafton Recruitment Sp z oo'],2019-10-17,provision interim staff service frontex
258,501017-2019,Provision of Interim Staff Services for Frontex,SERVICES,Provision of interim staff services to Frontex.,5000000.0,PL,['GI Group Sp z oo'],2019-10-17,provision interim staff service frontex
259,502706-2018,Framework Contract for Organisation of Events Outside of Poland,SERVICES,"The subject of the contract is organisation of events outside of Poland, as described in the terms of reference (Annex II to the Invitation to Tender).",12000000.0,PL,['Pomilio Blumm SRL'],2018-11-08,subject contract organisation event outside poland describe term reference annex ii invitation tender
260,505035-2017,Framework Contract for leasing of off-road vehicles for Frontex operational activities,SUPPLIES,Leasing of off-road vehicles needed within Frontex operational activities in Bulgaria and Greece.,,BGZ,,2017-12-07,leasing road vehicle need frontex operational activity bulgaria greece
261,50726-2014,HP and Cisco equipment maintenance.,SERVICES,Maintenance of HP and Cisco equipment possessed by Frontex.,,,['Asseco Poland SA'],2014-02-04,maintenance hp cisco equipment possess frontex
262,508643-2017,Delivery and installation of office chairs,SUPPLIES,Delivery and installation of office chairs.,368000.0,PL,['Profil nabytek as'],2017-12-08,delivery installation office chair
263,508644-2017,"Framework contract with reopening of competition for deliveries of ICT equipment, spare parts and accessories",SUPPLIES,"Framework contract with reopening of competition for deliveries of ICT equipment, spare parts and accessories.",2000000.0,PL,"['Uni Business Centre BV', 'Nextis services s.r.o.', 'AutoCont CZ a.s.', 'Bechtle direct Polska sp z oo']",2017-12-08,framework contract reopening competition delivery ict equipment spare accessory
264,514676-2019,Framework Contract for Provision of the Layout and Graphic Design Services,SERVICES,"Layout and graphic design services for Frontex external and internal communication products, such as publications, brochures, leaflets, MS Word and PowerPoint templates, or any other display material that might be print-based.",800000.0,PL911,['Softwin SRL'],2019-10-24,layout graphic design service frontex external internal communication product publication brochure leaflet ms word powerpoint template display material print base
265,514676-2019,Framework Contract for Provision of the Layout and Graphic Design Services,SERVICES,"Layout and graphic design services for Frontex external and internal communication products, such as publications, brochures, leaflets, MS Word and PowerPoint templates, or any other display material that might be print-based.",800000.0,PL911,['Intrasoft International S.A.'],2019-10-24,layout graphic design service frontex external internal communication product publication brochure leaflet ms word powerpoint template display material print base
266,514676-2019,Framework Contract for Provision of the Layout and Graphic Design Services,SERVICES,"Layout and graphic design services for Frontex external and internal communication products, such as publications, brochures, leaflets, MS Word and PowerPoint templates, or any other display material that might be print-based.",800000.0,PL911,['Pecka Studio s.r.o.'],2019-10-24,layout graphic design service frontex external internal communication product publication brochure leaflet ms word powerpoint template display material print base
267,520760-2020,"Courses in Business English, French, German, Spanish and Italian",SERVICES,— courses in Business English addressed to advanced users of English at C1 and C2 levels; — courses in French (all levels up to B2 level); — courses in German (all levels up to B2 level); — courses in Spanish (all levels up to B2 level); — courses in Italian (all levels up to B2 level).,424000.0,PL91,['Cambridge School of English Sp. z o.o.'],2020-10-26,course business english address advanced user english c1 c2 level course french level b2 level course german level b2 level course spanish level b2 level course italian level b2 level
268,520760-2020,"Courses in Polish for Foreigners (all Levels up to B2 level, including ‘Survival Polish’)",SERVICES,"Courses in Polish for foreigners (all levels up to B2 level, including ‘Survival Polish’). In case of Survival Polish, the course should focus on speaking, listening and reading competences and it should allow participants to acquire basic language skills which can be used for everyday situations. It should be designed for two semesters.",76000.0,PL91,['Cambridge School of English Sp. z o.o.'],2020-10-26,course polish foreigner level b2 level include survival polish case survival polish course focus speaking listening reading competence allow participant acquire basic language skill use everyday situation design semester
269,531568-2018,Provision of Canteen Operator Services,SERVICES,"The scope of the tender is provision of canteen, cafeteria, catering, coffee and kitchenettes services and provision of supplies to kitchenettes, as defined in Annex II – Terms of Reference.",1999800.0,PL91,['Art’ Impression Catering Sp. z o.o.'],2018-11-27,scope tender provision canteen cafeteria catering coffee kitchenette service provision supply kitchenette define annex ii terms reference
270,536410-2018,Framework Contract for Provision of Sanitary Supplies,SUPPLIES,Single framework contract for the provision of sanitary supplies needed within Frontex operational activities in line with terms of reference. Detailed description of the deliverables are in tender documentations.,180000.0,EL,['Fleischhacker GmbH and Co. KG'],2018-11-29,single framework contract provision sanitary supply need frontex operational activity line term reference detailed description deliverable tender documentation
271,542061-2020,Coastline Maritime Area Aerial Surveillance — Lot 2,SERVICES,"Award of the contract without prior publication of a call for competition in the Official Journal of the European Union. Services or works consisting in the repetition of similar services or works provided these are in conformity with a basic project as per point 11.1 (e) Annex 1 FR (can be used only within 3 years of the contract and only if the possibility to use this negotiated procedure was announced from the outset of the initial procedure) — this legal basis is used to increase the ceiling of this framework contract, lot 2.",3750000.0,EL,['CAE Aviation'],2020-11-06,award contract prior publication competition official journal european union service work consist repetition similar service work provide conformity basic project point 11.1 e annex 1 fr use 3 year contract possibility use negotiate procedure announce outset initial procedure legal basis use increase ceiling framework contract lot 2
272,542061-2020,Coastline Maritime Area Aerial Surveillance — Lot 2,SERVICES,"Award of the contract without prior publication of a call for competition in the Official Journal of the European Union. Services or works consisting in the repetition of similar services or works provided these are in conformity with a basic project as per point 11.1 (e) Annex 1 FR (can be used only within 3 years of the contract and only if the possibility to use this negotiated procedure was announced from the outset of the initial procedure) — this legal basis is used to increase the ceiling of this framework contract, lot 2.",3750000.0,EL,['DEA Aviation'],2020-11-06,award contract prior publication competition official journal european union service work consist repetition similar service work provide conformity basic project point 11.1 e annex 1 fr use 3 year contract possibility use negotiate procedure announce outset initial procedure legal basis use increase ceiling framework contract lot 2
273,550866-2019,Framework Contract for the Provision of Passenger Transfer Services by Sea from Mytilini (Locode GRMJT) to Dikili (Locode TRDIK),SERVICES,Passenger transfer services by sea for passengers from Mytilini to Dikili provided by individual ship fully reserved for Frontex and availability of the ferry for trainings conducted on board at the port of Mytilini.,1640000.0,EL,['Lazaris A. Gomos D. OE'],2019-11-14,passenger transfer service sea passenger mytilini dikili provide individual ship fully reserve frontex availability ferry training conduct board port mytilini
274,550867-2019,Provision of Maintenance Services of Audio-video Equipment in Frontex Premises,SERVICES,"Provision of maintenance services of audio-visual (AV) systems and equipment used in Frontex premises in Warsaw at Plac Europejski 6, Warsaw Spire Building B, according to Frontex business needs and in line with Terms of Reference (Annex II).",220000.0,PL,['Brill AV Media Sp z oo'],2019-11-14,provision maintenance service audio visual av system equipment use frontex premise warsaw plac europejski 6 warsaw spire building b according frontex business need line terms reference annex ii
275,560058-2018,Framework Contract for Purchase of Cooled Handheld Thermal Cameras for Border Surveillance,SUPPLIES,Framework contract for purchasing of cooled handheld thermal cameras for border surveillance.,,PL911,,2018-12-13,framework contract purchasing cool handheld thermal camera border surveillance
276,563114-2020,Purchase of Additional Services to SARMAP Software with the Use of Negotiated Procedure without Publication of the Contract Notice [FR Annex 1 point 11 b (ii)].,SERVICES,Purchase of training and environmental data update for SARMAP software — immanent elements of the entire SARMAP software package.,69564.0,PL911,['Bechtle Brussels NV'],2020-11-17,purchase training environmental datum update sarmap software immanent element entire sarmap software package
277,576651-2020,Multiple Framework Contract with Reopening of Competition for the Provision of Software Development Services,SERVICES,"This framework contract shall be considered as the source for contracting software development services mainly under quoted times and means and fixed price assignments. Software development services shall be understood in broad meaning with reference to all phases of software life cycle and technical domains of software engineering. Therefore, it may cover typical software development as well as maintenance of existing software, refactoring, tuning, etc.",16000000.0,PL,['Altia Consultores S.A.'],2020-11-24,framework contract shall consider source contract software development service mainly quote time mean fix price assignment software development service shall understand broad meaning reference phase software life cycle technical domain software engineering cover typical software development maintenance exist software refactoring tuning etc
278,576651-2020,Multiple Framework Contract with Reopening of Competition for the Provision of Software Development Services,SERVICES,"This framework contract shall be considered as the source for contracting software development services mainly under quoted times and means and fixed price assignments. Software development services shall be understood in broad meaning with reference to all phases of software life cycle and technical domains of software engineering. Therefore, it may cover typical software development as well as maintenance of existing software, refactoring, tuning, etc.",16000000.0,PL,"['European Dynamics Luxembourg SA', 'European Dynamics SA']",2020-11-24,framework contract shall consider source contract software development service mainly quote time mean fix price assignment software development service shall understand broad meaning reference phase software life cycle technical domain software engineering cover typical software development maintenance exist software refactoring tuning etc
279,576651-2020,Multiple Framework Contract with Reopening of Competition for the Provision of Software Development Services,SERVICES,"This framework contract shall be considered as the source for contracting software development services mainly under quoted times and means and fixed price assignments. Software development services shall be understood in broad meaning with reference to all phases of software life cycle and technical domains of software engineering. Therefore, it may cover typical software development as well as maintenance of existing software, refactoring, tuning, etc.",16000000.0,PL,['Fabrity SP. Z O.O.'],2020-11-24,framework contract shall consider source contract software development service mainly quote time mean fix price assignment software development service shall understand broad meaning reference phase software life cycle technical domain software engineering cover typical software development maintenance exist software refactoring tuning etc
